,open,high,low,bid,ask
2017-06-01 00:05:00,1.1239,1.12393,1.12364,1.12376,1.12379599705
2017-06-01 00:10:00,1.12376,1.12398,1.12366,1.12394,1.12383316611
2017-06-01 00:15:00,1.12393,1.12423,1.12392,1.12397,1.12410426471
2017-06-01 00:20:00,1.12397,1.124,1.12374,1.12381,1.12390783529
2017-06-01 00:25:00,1.12381,1.12381,1.12334,1.12339,1.12355051089
2017-06-01 00:30:00,1.12339,1.12367,1.12336,1.12362,1.12349962607
2017-06-01 00:35:00,1.12362,1.12367,1.12349,1.1235,1.12363273684
2017-06-01 00:40:00,1.1235,1.12356,1.12344,1.12355,1.12352453015
2017-06-01 00:45:00,1.12355,1.12372,1.1234,1.12341,1.1236011323
2017-06-01 00:50:00,1.12341,1.12347,1.12333,1.12335,1.12344024242
2017-06-01 00:55:00,1.12335,1.12355,1.12334,1.12345,1.12346715534
2017-06-01 01:00:00,1.12346,1.12356,1.12336,1.12344,1.12350143734
2017-06-01 01:05:00,1.12344,1.12345,1.12335,1.12338,1.12343164921
2017-06-01 01:10:00,1.12338,1.1237,1.12338,1.12367,1.12358311914
2017-06-01 01:15:00,1.12367,1.12376,1.12351,1.12375,1.12369312379
2017-06-01 01:20:00,1.12375,1.12402,1.12374,1.12401,1.12389969697
2017-06-01 01:25:00,1.12401,1.12401,1.12391,1.12396,1.12398339437
2017-06-01 01:30:00,1.12394,1.12396,1.12371,1.12374,1.1238231599
2017-06-01 01:35:00,1.12374,1.12433,1.12374,1.12433,1.12409703935
2017-06-01 01:40:00,1.12434,1.12557,1.12425,1.12549,1.12467947343
2017-06-01 01:45:00,1.12549,1.1255,1.12504,1.12514,1.12530517549
2017-06-01 01:50:00,1.12514,1.12516,1.12475,1.12489,1.12492981829
2017-06-01 01:55:00,1.12489,1.12495,1.12471,1.12472,1.12486211509
2017-06-01 02:00:00,1.12472,1.12473,1.1243,1.1247,1.12460131852
2017-06-01 02:05:00,1.1247,1.12543,1.12459,1.12537,1.1249654648
2017-06-01 02:10:00,1.12537,1.12567,1.12508,1.12511,1.12535272838
2017-06-01 02:15:00,1.12511,1.12525,1.12484,1.12512,1.12509846595
2017-06-01 02:20:00,1.12512,1.12528,1.12476,1.1248,1.12503946786
2017-06-01 02:25:00,1.1248,1.12491,1.12471,1.12479,1.1248617031
2017-06-01 02:30:00,1.12479,1.12481,1.12461,1.12467,1.12472939306
2017-06-01 02:35:00,1.12467,1.12469,1.12446,1.12466,1.12463136735
2017-06-01 02:40:00,1.12466,1.12467,1.12454,1.12458,1.12461098901
2017-06-01 02:45:00,1.12458,1.12462,1.12443,1.12449,1.12453824268
2017-06-01 02:50:00,1.12449,1.12455,1.12442,1.12446,1.12449729829
2017-06-01 02:55:00,1.12446,1.12446,1.12418,1.12419,1.12432847969
2017-06-01 03:00:00,1.12419,1.12441,1.12416,1.12422,1.12429571938
2017-06-01 03:05:00,1.12422,1.12433,1.12409,1.12425,1.12425740602
2017-06-01 03:10:00,1.12425,1.12429,1.12378,1.12391,1.12411235294
2017-06-01 03:15:00,1.12391,1.12401,1.12374,1.12397,1.12391910732
2017-06-01 03:20:00,1.12397,1.12397,1.12384,1.12385,1.12393518395
2017-06-01 03:25:00,1.12385,1.12395,1.12373,1.12385,1.12388598326
2017-06-01 03:30:00,1.12385,1.1243,1.12385,1.12428,1.12412397949
2017-06-01 03:35:00,1.12428,1.12457,1.12425,1.12455,1.12440062341
2017-06-01 03:40:00,1.12455,1.12481,1.12441,1.1247,1.12461868421
2017-06-01 03:45:00,1.1247,1.12482,1.12463,1.12473,1.1247710728
2017-06-01 03:50:00,1.12473,1.12478,1.12461,1.12461,1.12473443717
2017-06-01 03:55:00,1.12461,1.12493,1.12461,1.12486,1.12477821752
2017-06-01 04:00:00,1.12486,1.12491,1.12465,1.12465,1.12481115702
2017-06-01 04:05:00,1.12465,1.12465,1.12449,1.12449,1.12460619916
2017-06-01 04:10:00,1.12449,1.12452,1.12437,1.12437,1.12450067449
2017-06-01 04:15:00,1.12437,1.12452,1.12433,1.12446,1.12444072485
2017-06-01 04:20:00,1.12446,1.12457,1.12445,1.12456,1.12455284457
2017-06-01 04:25:00,1.12456,1.12457,1.12444,1.12446,1.1245328547
2017-06-01 04:30:00,1.12446,1.12457,1.12441,1.12454,1.12453329825
2017-06-01 04:35:00,1.12454,1.12466,1.12449,1.12455,1.12457841026
2017-06-01 04:40:00,1.12455,1.12461,1.12451,1.12454,1.12458621879
2017-06-01 04:45:00,1.12454,1.12476,1.12453,1.12461,1.12467380313
2017-06-01 04:50:00,1.12461,1.12474,1.12459,1.12465,1.12470759036
2017-06-01 04:55:00,1.12465,1.12469,1.12451,1.12455,1.12464407692
2017-06-01 05:00:00,1.12455,1.1247,1.12442,1.12467,1.12456081948
2017-06-01 05:05:00,1.12467,1.12482,1.12445,1.12456,1.12466328125
2017-06-01 05:10:00,1.12456,1.12462,1.12415,1.12421,1.12443610231
2017-06-01 05:15:00,1.12421,1.12424,1.12397,1.12421,1.12414374355
2017-06-01 05:20:00,1.12421,1.12421,1.12396,1.12415,1.12414894462
2017-06-01 05:25:00,1.12415,1.12438,1.12409,1.12436,1.12429498908
2017-06-01 05:30:00,1.12436,1.12442,1.12416,1.12416,1.12428442763
2017-06-01 05:35:00,1.12416,1.12418,1.12384,1.12407,1.12403666983
2017-06-01 05:40:00,1.12407,1.12411,1.12399,1.12401,1.12408571798
2017-06-01 05:45:00,1.12401,1.12407,1.12375,1.12378,1.12392749027
2017-06-01 05:50:00,1.12378,1.12414,1.12378,1.12411,1.12399282955
2017-06-01 05:55:00,1.12411,1.12427,1.12382,1.12386,1.12407085526
2017-06-01 06:00:00,1.12386,1.12401,1.12375,1.12378,1.12390525803
2017-06-01 06:05:00,1.12379,1.12379,1.12313,1.12331,1.12345777902
2017-06-01 06:10:00,1.12331,1.12368,1.12325,1.12336,1.12347252448
2017-06-01 06:15:00,1.12337,1.12382,1.12337,1.12368,1.12362332335
2017-06-01 06:20:00,1.12368,1.12383,1.12305,1.12321,1.12344539288
2017-06-01 06:25:00,1.12322,1.12356,1.12311,1.12316,1.12341621154
2017-06-01 06:30:00,1.12316,1.12343,1.12291,1.12297,1.12326224164
2017-06-01 06:35:00,1.12297,1.12321,1.12275,1.12318,1.12304411003
2017-06-01 06:40:00,1.12318,1.12375,1.12308,1.12368,1.1234729987
2017-06-01 06:45:00,1.12368,1.12383,1.12358,1.12381,1.12371427546
2017-06-01 06:50:00,1.12382,1.12424,1.12379,1.12422,1.12398463352
2017-06-01 06:55:00,1.12421,1.12474,1.12421,1.12438,1.12453648324
2017-06-01 07:00:00,1.12438,1.12489,1.12425,1.12437,1.12457110348
2017-06-01 07:05:00,1.12437,1.12458,1.12418,1.12418,1.12438931668
2017-06-01 07:10:00,1.12418,1.1243,1.1236,1.12364,1.12395382499
2017-06-01 07:15:00,1.12365,1.12407,1.12348,1.12363,1.12377791059
2017-06-01 07:20:00,1.12363,1.12416,1.12348,1.12399,1.12380401803
2017-06-01 07:25:00,1.12399,1.12409,1.12365,1.12371,1.12400143443
2017-06-01 07:30:00,1.12371,1.12379,1.12329,1.12354,1.12354285956
2017-06-01 07:35:00,1.12354,1.12377,1.12336,1.12338,1.12357662198
2017-06-01 07:40:00,1.12338,1.12389,1.12329,1.12369,1.12362153554
2017-06-01 07:45:00,1.12368,1.12372,1.12324,1.12324,1.12345076377
2017-06-01 07:50:00,1.12324,1.12353,1.12321,1.1234,1.1233943871
2017-06-01 07:55:00,1.1234,1.12344,1.12293,1.12295,1.12317636689
2017-06-01 08:00:00,1.12295,1.1233,1.1229,1.12325,1.12313078917
2017-06-01 08:05:00,1.12325,1.12341,1.12302,1.12333,1.12322165803
2017-06-01 08:10:00,1.12333,1.12333,1.12305,1.12315,1.1232287633
2017-06-01 08:15:00,1.12315,1.12368,1.1231,1.12354,1.12345868626
2017-06-01 08:20:00,1.12354,1.12379,1.12336,1.12342,1.12355097575
2017-06-01 08:25:00,1.12342,1.12349,1.12295,1.12319,1.12315297668
2017-06-01 08:30:00,1.12319,1.12319,1.12257,1.12292,1.12282249258
2017-06-01 08:35:00,1.12292,1.12297,1.12229,1.12246,1.1226684652
2017-06-01 08:40:00,1.12246,1.12263,1.12233,1.1226,1.12254282857
2017-06-01 08:45:00,1.1226,1.12309,1.12249,1.12278,1.12283927461
2017-06-01 08:50:00,1.12278,1.12335,1.12268,1.12326,1.12294735462
2017-06-01 08:55:00,1.12326,1.1233,1.12297,1.12303,1.1231692048
2017-06-01 09:00:00,1.12303,1.12333,1.12254,1.12262,1.12300663671
2017-06-01 09:05:00,1.12265,1.12327,1.12251,1.12302,1.12291723966
2017-06-01 09:10:00,1.12302,1.12304,1.12257,1.12277,1.12277545159
2017-06-01 09:15:00,1.12277,1.12324,1.12262,1.1231,1.1229280718
2017-06-01 09:20:00,1.1231,1.12313,1.1226,1.12294,1.12289052102
2017-06-01 09:25:00,1.12295,1.12304,1.12257,1.12268,1.12282026198
2017-06-01 09:30:00,1.12268,1.12283,1.12234,1.12268,1.12261666667
2017-06-01 09:35:00,1.12268,1.12271,1.12222,1.12246,1.1224721527
2017-06-01 09:40:00,1.12246,1.12284,1.12237,1.12273,1.1226341335
2017-06-01 09:45:00,1.12273,1.12311,1.12273,1.12294,1.12298221902
2017-06-01 09:50:00,1.12294,1.12316,1.12284,1.12292,1.12301978121
2017-06-01 09:55:00,1.12292,1.12318,1.12277,1.12307,1.1230202979
2017-06-01 10:00:00,1.12307,1.12369,1.12297,1.12356,1.12337866284
2017-06-01 10:05:00,1.12356,1.12356,1.12313,1.12313,1.12334016571
2017-06-01 10:10:00,1.12313,1.12333,1.12306,1.12307,1.12321297872
2017-06-01 10:15:00,1.12307,1.12319,1.12292,1.12314,1.12311362664
2017-06-01 10:20:00,1.12314,1.12349,1.12309,1.12349,1.12328021912
2017-06-01 10:25:00,1.12349,1.12367,1.12286,1.12294,1.12322414088
2017-06-01 10:30:00,1.12294,1.12312,1.12276,1.12302,1.1229818844
2017-06-01 10:35:00,1.12302,1.12317,1.12298,1.12311,1.12312066183
2017-06-01 10:40:00,1.1231,1.12312,1.12277,1.12283,1.12295179049
2017-06-01 10:45:00,1.12283,1.12284,1.1224,1.1226,1.12262994266
2017-06-01 10:50:00,1.1226,1.12298,1.12257,1.12293,1.1228129587
2017-06-01 10:55:00,1.12293,1.12318,1.12293,1.12304,1.12306295455
2017-06-01 11:00:00,1.12304,1.12307,1.12273,1.12278,1.12289415276
2017-06-01 11:05:00,1.12278,1.12279,1.12247,1.12261,1.12266236876
2017-06-01 11:10:00,1.12261,1.12281,1.12251,1.12252,1.12270893082
2017-06-01 11:15:00,1.12252,1.12267,1.12249,1.1225,1.12256858723
2017-06-01 11:20:00,1.1225,1.12251,1.12167,1.12201,1.12206675234
2017-06-01 11:25:00,1.12201,1.12207,1.12179,1.12198,1.12196982166
2017-06-01 11:30:00,1.12198,1.12233,1.12197,1.12222,1.12216258065
2017-06-01 11:35:00,1.12222,1.1224,1.12211,1.12213,1.122286892
2017-06-01 11:40:00,1.12213,1.12216,1.12189,1.12213,1.12205176892
2017-06-01 11:45:00,1.12213,1.1223,1.12192,1.12203,1.1220954107
2017-06-01 11:50:00,1.12203,1.12218,1.1219,1.12202,1.12202510334
2017-06-01 11:55:00,1.12202,1.12221,1.12192,1.12202,1.1221177363
2017-06-01 12:00:00,1.12202,1.12219,1.12178,1.12184,1.12202447464
2017-06-01 12:05:00,1.12185,1.12228,1.12182,1.12218,1.12212178287
2017-06-01 12:10:00,1.12218,1.12237,1.12218,1.12233,1.12228361399
2017-06-01 12:15:00,1.12233,1.12248,1.12169,1.12176,1.1221683561
2017-06-01 12:20:00,1.12177,1.12177,1.12021,1.1207,1.12060705053
2017-06-01 12:25:00,1.12069,1.12095,1.12022,1.12053,1.12057205561
2017-06-01 12:30:00,1.12053,1.12103,1.12052,1.12082,1.12083415173
2017-06-01 12:35:00,1.12083,1.12146,1.12083,1.12128,1.12118079175
2017-06-01 12:40:00,1.12128,1.12128,1.12092,1.12113,1.12108887604
2017-06-01 12:45:00,1.12113,1.12153,1.12112,1.12127,1.12133625776
2017-06-01 12:50:00,1.12127,1.12158,1.12108,1.12147,1.12133608597
2017-06-01 12:55:00,1.12147,1.12157,1.12128,1.12157,1.12142756243
2017-06-01 13:00:00,1.12157,1.12173,1.12137,1.12146,1.12156227473
2017-06-01 13:05:00,1.12146,1.1218,1.12132,1.12178,1.12150221023
2017-06-01 13:10:00,1.12178,1.1219,1.12164,1.12173,1.12175647486
2017-06-01 13:15:00,1.12173,1.1219,1.12146,1.12189,1.12166354731
2017-06-01 13:20:00,1.12189,1.12206,1.12179,1.12184,1.12193167042
2017-06-01 13:25:00,1.12184,1.12189,1.12154,1.12163,1.12170702703
2017-06-01 13:30:00,1.12163,1.12173,1.12143,1.12144,1.12159183569
2017-06-01 13:35:00,1.12143,1.12207,1.12142,1.12189,1.12183795559
2017-06-01 13:40:00,1.12189,1.12211,1.1218,1.12195,1.12192510938
2017-06-01 13:45:00,1.12195,1.1221,1.12183,1.12206,1.12198688972
2017-06-01 13:50:00,1.12206,1.12226,1.12176,1.12208,1.12200009984
2017-06-01 13:55:00,1.12208,1.12262,1.12202,1.12257,1.1223897026
2017-06-01 14:00:00,1.12257,1.12259,1.12217,1.12217,1.12250993631
2017-06-01 14:05:00,1.12234,1.12345,1.12234,1.12258,1.12286483967
2017-06-01 14:10:00,1.12258,1.12283,1.12233,1.12254,1.12260084956
2017-06-01 14:15:00,1.12254,1.12269,1.12223,1.12243,1.12240793397
2017-06-01 14:20:00,1.12243,1.12243,1.12209,1.12216,1.12226701835
2017-06-01 14:25:00,1.12216,1.12242,1.12216,1.12239,1.12231646855
2017-06-01 14:30:00,1.1224,1.12245,1.12197,1.12202,1.12230919526
2017-06-01 14:35:00,1.12202,1.12208,1.12159,1.12178,1.12189514567
2017-06-01 14:40:00,1.12178,1.12195,1.12167,1.12183,1.12180635548
2017-06-01 14:45:00,1.12182,1.12194,1.1217,1.12191,1.12185081306
2017-06-01 14:50:00,1.12191,1.12251,1.12182,1.12234,1.12213068046
2017-06-01 14:55:00,1.12235,1.1226,1.12205,1.1225,1.1223757457
2017-06-01 15:00:00,1.12249,1.12275,1.12224,1.12254,1.1225685506
2017-06-01 15:05:00,1.12254,1.12259,1.12182,1.12184,1.12235723113
2017-06-01 15:10:00,1.12185,1.12208,1.1217,1.12183,1.12187762761
2017-06-01 15:15:00,1.12183,1.12187,1.12149,1.12167,1.12166040497
2017-06-01 15:20:00,1.12167,1.12217,1.12162,1.12178,1.12193821047
2017-06-01 15:25:00,1.12178,1.12206,1.12178,1.12193,1.12193625267
2017-06-01 15:30:00,1.12193,1.1221,1.12165,1.12173,1.1218789555
2017-06-01 15:35:00,1.12173,1.12188,1.12164,1.12177,1.12176867318
2017-06-01 15:40:00,1.12177,1.12186,1.12142,1.12158,1.12164744481
2017-06-01 15:45:00,1.12158,1.12165,1.12136,1.12137,1.12151265842
2017-06-01 15:50:00,1.12137,1.12137,1.12096,1.12099,1.12116719419
2017-06-01 15:55:00,1.12099,1.12127,1.12089,1.12113,1.12109389747
2017-06-01 16:00:00,1.12113,1.12144,1.12113,1.12135,1.12132406174
2017-06-01 16:05:00,1.12135,1.12139,1.121,1.12103,1.12124252174
2017-06-01 16:10:00,1.12103,1.12149,1.12103,1.12138,1.12127730565
2017-06-01 16:15:00,1.12138,1.12152,1.12133,1.12152,1.12146002712
2017-06-01 16:20:00,1.12151,1.1216,1.12145,1.12159,1.12153752551
2017-06-01 16:25:00,1.12159,1.12173,1.12117,1.12118,1.12149388088
2017-06-01 16:30:00,1.12118,1.12123,1.12112,1.12114,1.1212064
2017-06-01 16:35:00,1.12114,1.12128,1.12095,1.12101,1.12114474731
2017-06-01 16:40:00,1.12101,1.12105,1.12082,1.12086,1.12097761755
2017-06-01 16:45:00,1.12086,1.12092,1.12063,1.12064,1.12075491557
2017-06-01 16:50:00,1.12064,1.12083,1.12061,1.12069,1.12074982841
2017-06-01 16:55:00,1.12069,1.12084,1.12066,1.12083,1.12075370594
2017-06-01 17:00:00,1.12083,1.12105,1.12083,1.12094,1.1209590933
2017-06-01 17:05:00,1.12094,1.12117,1.12094,1.12098,1.12105860915
2017-06-01 17:10:00,1.12098,1.12106,1.12087,1.12089,1.12097280311
2017-06-01 17:15:00,1.12089,1.12108,1.12087,1.12108,1.12100966279
2017-06-01 17:20:00,1.12107,1.12117,1.12101,1.12103,1.1211153253
2017-06-01 17:25:00,1.12103,1.12116,1.12095,1.12109,1.12110571116
2017-06-01 17:30:00,1.12109,1.12127,1.12099,1.12126,1.12115195996
2017-06-01 17:35:00,1.12126,1.12126,1.12109,1.12124,1.12119901699
2017-06-01 17:40:00,1.12124,1.12132,1.12082,1.12093,1.12108472
2017-06-01 17:45:00,1.12093,1.12094,1.12069,1.12076,1.12080911111
2017-06-01 17:50:00,1.12077,1.12093,1.12067,1.12093,1.12081269583
2017-06-01 17:55:00,1.12093,1.12095,1.12076,1.12088,1.12087045738
2017-06-01 18:00:00,1.12088,1.12114,1.12079,1.12109,1.12097241055
2017-06-01 18:05:00,1.12109,1.12131,1.12093,1.12128,1.12112574332
2017-06-01 18:10:00,1.12128,1.1213,1.12085,1.12089,1.12121226974
2017-06-01 18:15:00,1.12089,1.12094,1.12066,1.12089,1.12081656846
