,open,high,low,bid,ask
2017-06-01 00:03:00,1.1239,1.12393,1.12366,1.12377,1.12381943936
2017-06-01 00:06:00,1.12377,1.12382,1.12364,1.12368,1.12374968391
2017-06-01 00:09:00,1.12368,1.1239,1.12368,1.12389,1.12383436647
2017-06-01 00:12:00,1.12389,1.12423,1.12386,1.12405,1.12409674107
2017-06-01 00:15:00,1.12405,1.12412,1.12394,1.12397,1.12405665179
2017-06-01 00:18:00,1.12397,1.124,1.12379,1.1238,1.1239464891
2017-06-01 00:21:00,1.1238,1.12392,1.12358,1.12359,1.1237951108
2017-06-01 00:24:00,1.12359,1.1236,1.12339,1.12339,1.12355650897
2017-06-01 00:27:00,1.12339,1.12345,1.12334,1.1234,1.12342350388
2017-06-01 00:30:00,1.1234,1.12367,1.12339,1.12362,1.12354063032
2017-06-01 00:33:00,1.12362,1.12367,1.12354,1.12364,1.1236425261
2017-06-01 00:36:00,1.12364,1.12367,1.12345,1.12346,1.12358234742
2017-06-01 00:39:00,1.12346,1.12355,1.12344,1.12353,1.12351304239
2017-06-01 00:42:00,1.12353,1.12372,1.12349,1.12366,1.12363422311
2017-06-01 00:45:00,1.12366,1.12366,1.1234,1.12341,1.1235540873
2017-06-01 00:48:00,1.12341,1.12347,1.12335,1.1234,1.12346134663
2017-06-01 00:51:00,1.1234,1.12343,1.12333,1.12341,1.12341041126
2017-06-01 00:54:00,1.12341,1.12347,1.12339,1.12347,1.12346020408
2017-06-01 00:57:00,1.12347,1.12355,1.12336,1.12346,1.12349485683
2017-06-01 01:00:00,1.12346,1.12356,1.1234,1.12344,1.12351654386
2017-06-01 01:03:00,1.12344,1.12345,1.12335,1.12339,1.12343563707
2017-06-01 01:06:00,1.12339,1.12355,1.12338,1.12355,1.12344704492
2017-06-01 01:09:00,1.12355,1.1237,1.12348,1.12369,1.12359323529
2017-06-01 01:12:00,1.12369,1.12375,1.12351,1.12364,1.12366173184
2017-06-01 01:15:00,1.12364,1.12376,1.1236,1.12375,1.123719584
2017-06-01 01:18:00,1.12375,1.12394,1.12374,1.12384,1.12387061333
2017-06-01 01:21:00,1.12384,1.12402,1.12383,1.12396,1.12396932886
2017-06-01 01:24:00,1.12396,1.124,1.12391,1.12396,1.1239740241
2017-06-01 01:27:00,1.12396,1.12397,1.12371,1.12371,1.12391883721
2017-06-01 01:30:00,1.12371,1.12378,1.12371,1.12374,1.12378320792
2017-06-01 01:33:00,1.12374,1.12415,1.12374,1.12413,1.12399894263
