,open,high,low,bid,ask
2017-01-02 00:05:00,1.0523,1.0523,1.05153,1.05196,1.05305071006
2017-01-02 00:10:00,1.05196,1.05203,1.05153,1.05201,1.05300216216
2017-01-02 00:15:00,1.05201,1.05202,1.05187,1.05196,1.05297780142
2017-01-02 00:20:00,1.05196,1.05196,1.05185,1.05196,1.05298078571
2017-01-02 00:25:00,1.05196,1.05198,1.05185,1.05196,1.05296673469
2017-01-02 00:30:00,1.05196,1.05211,1.05142,1.05201,1.05280865922
2017-01-02 00:35:00,1.05201,1.05202,1.05186,1.05195,1.05284503497
2017-01-02 00:40:00,1.05195,1.05199,1.05186,1.05195,1.05286993711
2017-01-02 00:45:00,1.05195,1.05195,1.05186,1.05195,1.05286784314
2017-01-02 00:50:00,1.05195,1.05195,1.05149,1.05195,1.05287272152
2017-01-02 00:55:00,1.05195,1.05195,1.0518,1.05183,1.052872
2017-01-02 01:00:00,1.05183,1.05195,1.05183,1.05195,1.05287153846
2017-01-02 01:05:00,1.05195,1.05195,1.05183,1.05193,1.05286922078
2017-01-02 01:10:00,1.05193,1.05199,1.05183,1.05199,1.05288242857
2017-01-02 01:15:00,1.05199,1.05204,1.05184,1.05204,1.0529258209
2017-01-02 01:20:00,1.05204,1.05204,1.05185,1.05204,1.05298406061
2017-01-02 01:25:00,1.05204,1.05232,1.05162,1.05205,1.05290115538
2017-01-02 01:30:00,1.05205,1.05205,1.0518,1.05199,1.0527174359
2017-01-02 01:35:00,1.05199,1.05202,1.05181,1.05197,1.05257611465
2017-01-02 01:40:00,1.05197,1.05199,1.05179,1.05186,1.05261625899
2017-01-02 01:45:00,1.05186,1.05205,1.05186,1.05188,1.05256423913
2017-01-02 01:50:00,1.05188,1.05201,1.05186,1.05187,1.05257006289
2017-01-02 01:55:00,1.05187,1.05199,1.05186,1.05199,1.05256421965
2017-01-02 02:00:00,1.05199,1.05201,1.05185,1.0519,1.052579875
2017-01-02 02:05:00,1.0519,1.05201,1.05185,1.0519,1.05254841808
2017-01-02 02:10:00,1.0519,1.05201,1.05139,1.05165,1.05239055118
2017-01-02 02:15:00,1.05165,1.05167,1.05138,1.05165,1.05236381148
2017-01-02 02:20:00,1.05165,1.05166,1.05127,1.05151,1.05225794872
2017-01-02 02:25:00,1.05151,1.05159,1.05128,1.0515,1.05213414365
2017-01-02 02:30:00,1.0515,1.05175,1.05118,1.05154,1.05221523529
2017-01-02 02:35:00,1.05154,1.05154,1.05154,1.05154,1.05226205479
2017-01-02 02:40:00,1.05154,1.05154,1.05149,1.0515,1.05222554795
2017-01-02 02:45:00,1.0515,1.05156,1.05149,1.05149,1.05222597122
2017-01-02 02:50:00,1.05149,1.05155,1.05149,1.0515,1.05219876033
2017-01-02 02:55:00,1.0515,1.05153,1.05149,1.05151,1.05228735135
2017-01-02 03:00:00,1.05151,1.05159,1.05147,1.05155,1.05231806763
2017-01-02 03:05:00,1.05155,1.05166,1.05154,1.05159,1.0523328125
2017-01-02 03:10:00,1.05159,1.05164,1.05152,1.05153,1.05231361991
2017-01-02 03:15:00,1.05153,1.05161,1.05153,1.05153,1.05230315978
2017-01-02 03:20:00,1.05153,1.05161,1.05132,1.05141,1.0522367931
2017-01-02 03:25:00,1.05141,1.05156,1.05135,1.05153,1.0520174216
2017-01-02 03:30:00,1.05153,1.05162,1.05135,1.0515,1.05204119266
2017-01-02 03:35:00,1.0515,1.05166,1.05138,1.0516,1.05209895954
2017-01-02 03:40:00,1.0516,1.05162,1.05136,1.05151,1.05218565657
2017-01-02 03:45:00,1.05151,1.05162,1.0513,1.05154,1.05223418079
2017-01-02 03:50:00,1.05154,1.05163,1.05138,1.05163,1.05236838384
2017-01-02 03:55:00,1.05163,1.05163,1.05135,1.05153,1.05245450382
2017-01-02 04:00:00,1.05153,1.0521,1.05136,1.0519,1.05243490226
2017-01-02 04:05:00,1.0519,1.0519,1.05153,1.0519,1.05244190751
2017-01-02 04:10:00,1.0519,1.05194,1.05138,1.05189,1.05245178161
2017-01-02 04:15:00,1.05189,1.05189,1.05138,1.05185,1.05237380645
2017-01-02 04:20:00,1.05185,1.05185,1.05138,1.05153,1.05222210526
2017-01-02 04:25:00,1.05153,1.05153,1.0513,1.05147,1.05208848684
2017-01-02 04:30:00,1.05147,1.05147,1.05129,1.05143,1.05199201299
2017-01-02 04:35:00,1.05143,1.05145,1.0513,1.05144,1.05197272222
2017-01-02 04:40:00,1.05144,1.05144,1.05138,1.05141,1.05196964072
2017-01-02 04:45:00,1.05148,1.0515,1.05131,1.05142,1.05196995238
2017-01-02 04:50:00,1.05142,1.0515,1.05137,1.05145,1.05198507614
2017-01-02 04:55:00,1.05145,1.05148,1.05132,1.05148,1.05198929487
2017-01-02 05:00:00,1.05148,1.05149,1.05132,1.05148,1.05203350365
2017-01-02 05:05:00,1.05148,1.05149,1.05132,1.05148,1.05203151261
2017-01-02 05:10:00,1.05148,1.05149,1.05132,1.05149,1.05202992593
2017-01-02 05:15:00,1.05149,1.0515,1.05132,1.05149,1.0520421519
2017-01-02 05:20:00,1.05149,1.05149,1.05126,1.05141,1.05197741935
2017-01-02 05:25:00,1.05141,1.05152,1.05129,1.05146,1.05192077844
2017-01-02 05:30:00,1.05146,1.0515,1.05125,1.05138,1.05195724359
2017-01-02 05:35:00,1.05138,1.05139,1.05125,1.05139,1.05196144928
2017-01-02 05:40:00,1.05139,1.05161,1.05092,1.05138,1.05192756614
2017-01-02 05:45:00,1.05138,1.05138,1.05096,1.05118,1.0517845625
2017-01-02 05:50:00,1.05118,1.05128,1.0509,1.05105,1.05171201149
2017-01-02 05:55:00,1.05105,1.05117,1.05087,1.05106,1.05162809249
2017-01-02 06:00:00,1.05106,1.05111,1.05096,1.0511,1.05164311111
2017-01-02 06:05:00,1.0511,1.05114,1.05096,1.05114,1.05169793548
2017-01-02 06:10:00,1.05114,1.05125,1.05074,1.0509,1.05152595745
2017-01-02 06:15:00,1.0509,1.051,1.05074,1.051,1.05133342857
2017-01-02 06:20:00,1.051,1.051,1.05078,1.05083,1.05133654545
2017-01-02 06:25:00,1.05083,1.05127,1.05077,1.05107,1.0514242735
2017-01-02 06:30:00,1.05107,1.05107,1.05086,1.05104,1.05142207101
2017-01-02 06:35:00,1.05104,1.05134,1.05086,1.05125,1.05142616438
2017-01-02 06:40:00,1.05125,1.05141,1.05108,1.05139,1.05171384615
2017-01-02 06:45:00,1.05139,1.05139,1.05116,1.05129,1.05171881579
2017-01-02 06:50:00,1.05129,1.05137,1.05129,1.05137,1.05179849162
2017-01-02 06:55:00,1.05137,1.05164,1.05114,1.05135,1.05183161677
2017-01-02 07:00:00,1.05135,1.05141,1.05116,1.05136,1.05178938202
