,open,high,low,bid,ask
2017-06-01 00:04:00,1.1239,1.12393,1.12365,1.12366,1.1238109767
2017-06-01 00:08:00,1.12366,1.12388,1.12364,1.12388,1.12376186528
2017-06-01 00:12:00,1.12388,1.12423,1.1238,1.12405,1.12404936563
2017-06-01 00:16:00,1.12405,1.12412,1.12394,1.12396,1.1240438698
2017-06-01 00:20:00,1.12396,1.124,1.12374,1.12381,1.12389634899
2017-06-01 00:24:00,1.12381,1.12381,1.12339,1.12339,1.1235951559
2017-06-01 00:28:00,1.12339,1.12351,1.12334,1.12344,1.12343517647
2017-06-01 00:32:00,1.12344,1.12367,1.12341,1.12364,1.1236019242
2017-06-01 00:36:00,1.12364,1.12367,1.12345,1.12346,1.12360489185
2017-06-01 00:40:00,1.12346,1.12356,1.12344,1.12355,1.12352644366
2017-06-01 00:44:00,1.12355,1.12372,1.12351,1.12356,1.12364091667
2017-06-01 00:48:00,1.12355,1.12356,1.12335,1.1234,1.12347625
2017-06-01 00:52:00,1.1234,1.12343,1.12333,1.12341,1.12341477002
2017-06-01 00:56:00,1.12341,1.12355,1.12339,1.12346,1.12349124266
2017-06-01 01:00:00,1.12346,1.12356,1.12336,1.12344,1.12350347138
2017-06-01 01:04:00,1.12344,1.12345,1.12335,1.1234,1.12343320451
2017-06-01 01:08:00,1.1234,1.12356,1.12338,1.12354,1.12350042088
2017-06-01 01:12:00,1.12354,1.12375,1.12351,1.12364,1.12366106383
2017-06-01 01:16:00,1.12364,1.12388,1.1236,1.12386,1.12376122881
2017-06-01 01:20:00,1.12386,1.12402,1.12379,1.12401,1.12392139952
2017-06-01 01:24:00,1.12401,1.12401,1.12391,1.12396,1.12398308581
2017-06-01 01:28:00,1.12396,1.12397,1.12371,1.12374,1.12387375
2017-06-01 01:32:00,1.12374,1.12402,1.12372,1.12398,1.1239000454
2017-06-01 01:36:00,1.12398,1.12451,1.12396,1.12449,1.12423260218
2017-06-01 01:40:00,1.12449,1.12557,1.12443,1.12549,1.12475376767
2017-06-01 01:44:00,1.12549,1.1255,1.12519,1.12519,1.12534755
2017-06-01 01:48:00,1.12519,1.12523,1.12475,1.12482,1.12498690909
2017-06-01 01:52:00,1.12482,1.12498,1.1248,1.12491,1.12492944023
2017-06-01 01:56:00,1.12491,1.12492,1.12461,1.12464,1.12478103575
2017-06-01 02:00:00,1.12464,1.12473,1.1243,1.1247,1.1245781654
2017-06-01 02:04:00,1.1247,1.12518,1.12459,1.12496,1.1248550682
2017-06-01 02:08:00,1.12496,1.12567,1.12495,1.12521,1.12538596814
2017-06-01 02:12:00,1.12521,1.12525,1.12499,1.125,1.12517113636
2017-06-01 02:16:00,1.125,1.12528,1.12484,1.12522,1.1250968383
2017-06-01 02:20:00,1.12522,1.12524,1.12476,1.1248,1.12499433881
2017-06-01 02:24:00,1.1248,1.12491,1.12471,1.1249,1.12486237935
2017-06-01 02:28:00,1.1249,1.1249,1.12461,1.12466,1.12477022919
2017-06-01 02:32:00,1.12466,1.12474,1.12447,1.12447,1.12467364286
2017-06-01 02:36:00,1.12447,1.12469,1.12446,1.12458,1.12463160494
2017-06-01 02:40:00,1.12458,1.12462,1.12454,1.12458,1.12460108108
2017-06-01 02:44:00,1.12458,1.12462,1.12443,1.12449,1.12454177136
2017-06-01 02:48:00,1.12449,1.12455,1.12442,1.12445,1.12450909732
2017-06-01 02:52:00,1.12445,1.12451,1.12433,1.12435,1.12443534602
2017-06-01 02:56:00,1.12435,1.12435,1.12416,1.12426,1.12426922581
2017-06-01 03:00:00,1.12426,1.12441,1.12421,1.12422,1.12431100741
2017-06-01 03:04:00,1.12422,1.12433,1.12409,1.12431,1.12424390922
2017-06-01 03:08:00,1.12431,1.12433,1.12416,1.12416,1.12425864382
2017-06-01 03:12:00,1.12416,1.12416,1.12374,1.12391,1.12392619141
2017-06-01 03:16:00,1.12391,1.12401,1.12387,1.12391,1.12396619858
2017-06-01 03:20:00,1.12391,1.12393,1.12384,1.12385,1.12391836683
2017-06-01 03:24:00,1.12385,1.12395,1.12373,1.12386,1.12388571429
2017-06-01 03:28:00,1.12386,1.12413,1.12384,1.12408,1.12401233071
2017-06-01 03:32:00,1.12408,1.12437,1.12406,1.12437,1.12426592443
2017-06-01 03:36:00,1.12437,1.12461,1.12436,1.12458,1.12448995614
2017-06-01 03:40:00,1.12458,1.12481,1.12441,1.1247,1.12462632743
2017-06-01 03:44:00,1.1247,1.12482,1.12463,1.12478,1.12476770463
2017-06-01 03:48:00,1.12478,1.12481,1.12464,1.12465,1.12475519578
2017-06-01 03:52:00,1.12465,1.12478,1.12461,1.12466,1.12470877419
2017-06-01 03:56:00,1.12466,1.12493,1.12463,1.12486,1.12482959707
2017-06-01 04:00:00,1.12486,1.12486,1.12465,1.12465,1.12478993344
2017-06-01 04:04:00,1.12465,1.12465,1.1245,1.12451,1.12461932203
2017-06-01 04:08:00,1.12451,1.12452,1.12444,1.12447,1.12452662522
2017-06-01 04:12:00,1.12447,1.12448,1.12433,1.12435,1.12442195565
2017-06-01 04:16:00,1.12435,1.12456,1.12435,1.12456,1.12449017986
2017-06-01 04:20:00,1.12456,1.12457,1.12445,1.12456,1.12455644161
2017-06-01 04:24:00,1.12456,1.12457,1.12444,1.12447,1.12454559211
2017-06-01 04:28:00,1.12447,1.12452,1.12441,1.12451,1.12450862579
2017-06-01 04:32:00,1.1245,1.12459,1.12448,1.12451,1.12456348162
2017-06-01 04:36:00,1.12451,1.12466,1.1245,1.12456,1.12458244337
