,open,high,low,bid,ask
2017-01-02 00:04:00,1.0523,1.0523,1.05153,1.05196,1.05306366906
2017-01-02 00:08:00,1.05196,1.05196,1.05153,1.05196,1.05301786325
2017-01-02 00:12:00,1.05196,1.05203,1.05163,1.05196,1.05297420168
2017-01-02 00:16:00,1.05196,1.05196,1.05186,1.05196,1.0529745614
2017-01-02 00:20:00,1.05196,1.05196,1.05185,1.05196,1.05298256881
2017-01-02 00:24:00,1.05196,1.05198,1.05186,1.05196,1.05296872
2017-01-02 00:28:00,1.05196,1.05211,1.05142,1.05201,1.05283780142
2017-01-02 00:32:00,1.05201,1.05202,1.05199,1.05202,1.05279745614
2017-01-02 00:36:00,1.05202,1.05202,1.05186,1.05195,1.05287357724
2017-01-02 00:40:00,1.05195,1.05195,1.05186,1.05195,1.05286752
2017-01-02 00:44:00,1.05195,1.05195,1.05186,1.05195,1.05286833333
2017-01-02 00:48:00,1.05195,1.05195,1.05149,1.05195,1.05286696296
2017-01-02 00:52:00,1.05195,1.05195,1.0518,1.05195,1.05288449541
2017-01-02 00:56:00,1.05195,1.05195,1.05183,1.05195,1.05286628319
2017-01-02 01:00:00,1.05195,1.05195,1.05183,1.05195,1.05287054054
2017-01-02 01:04:00,1.05195,1.05195,1.05183,1.05195,1.05287264957
2017-01-02 01:08:00,1.05195,1.05195,1.05183,1.05195,1.0528637069
2017-01-02 01:12:00,1.05195,1.05204,1.05183,1.05204,1.0529113913
2017-01-02 01:16:00,1.05204,1.05204,1.05184,1.05204,1.05293672727
2017-01-02 01:20:00,1.05204,1.05204,1.05185,1.05204,1.0529902963
2017-01-02 01:24:00,1.05204,1.05232,1.05162,1.05205,1.05288138095
2017-01-02 01:28:00,1.05205,1.05205,1.0518,1.052,1.05285341463
2017-01-02 01:32:00,1.05202,1.05202,1.05181,1.05186,1.05256847826
2017-01-02 01:36:00,1.05186,1.05201,1.05181,1.05186,1.05258033058
2017-01-02 01:40:00,1.05186,1.05196,1.05179,1.05186,1.05262825688
2017-01-02 01:44:00,1.05186,1.05205,1.05186,1.05189,1.0525636
2017-01-02 01:48:00,1.0519,1.05205,1.05186,1.05187,1.05257586466
2017-01-02 01:52:00,1.05187,1.05201,1.05187,1.05195,1.05256284553
2017-01-02 01:56:00,1.05195,1.05199,1.05185,1.05189,1.05256105634
2017-01-02 02:00:00,1.05189,1.05201,1.05188,1.0519,1.05258453125
2017-01-02 02:04:00,1.0519,1.05201,1.05185,1.0519,1.05254957746
2017-01-02 02:08:00,1.0519,1.05201,1.05142,1.05167,1.0524703681
2017-01-02 02:12:00,1.05167,1.05167,1.05138,1.0516,1.05234053097
2017-01-02 02:16:00,1.0516,1.05167,1.0514,1.05166,1.05237777143
2017-01-02 02:20:00,1.05166,1.05166,1.05127,1.05151,1.05222
