,PNL,buy,sell,longest_buy,longest_sell,accuracy 1,accuracy 0,accuracy 3,accuracy 2,acuracy_total
2017-06-06,0.0,0.0,0.0,0.0,281.0,0.0,0.0,0.5,0.34146341463414637,0.11387900355871886
2017-06-07,0.007282058499999966,82.0,0.0,44.0,85.0,0.37037037037037035,0.0,0.175,0.6097560975609756,0.25806451612903225
2017-06-08,-0.011908426999998944,222.0,35.0,32.0,7.0,0.8165137614678899,0.11764705882352941,0.18518518518518517,0.03571428571428571,0.38515901060070673
2017-06-09,-0.00971215239000256,20.0,214.0,3.0,57.0,0.06382978723404255,0.7857142857142857,0.06666666666666667,0.0,0.3008130081300813
2017-06-11,-0.004029494089999419,29.0,1.0,15.0,2.0,0.8,0.0,0.2727272727272727,0.0,0.20588235294117646
2017-06-12,0.0015303838300000372,43.0,4.0,4.0,82.0,0.15217391304347827,0.0297029702970297,0.9090909090909091,0.4186046511627907,0.26785714285714285
2017-06-13,0.0019136067799996326,25.0,34.0,5.0,63.0,0.11224489795918367,0.2,0.42105263157894735,0.5964912280701754,0.2805755395683453
2017-06-14,-0.0009340314400008154,6.0,129.0,2.0,135.0,0.0392156862745098,0.5977011494252874,0.6097560975609756,0.10869565217391304,0.3115942028985507
2017-06-15,-0.00594673895999609,194.0,37.0,114.0,26.0,0.7352941176470589,0.14705882352941177,0.23684210526315788,0.10256410256410256,0.3665480427046263
2017-06-16,0.00468701926999926,62.0,11.0,6.0,14.0,0.33980582524271846,0.04878048780487805,0.6666666666666666,0.4857142857142857,0.29508196721311475
2017-06-18,-0.0009482114300001232,12.0,1.0,3.0,7.0,0.375,0.14285714285714285,0.2857142857142857,0.36363636363636365,0.30303030303030304
2017-06-19,0.001268429359999823,64.0,4.0,5.0,38.0,0.2872340425531915,0.01818181818181818,0.725,0.35294117647058826,0.2517985611510791
2017-06-20,0.0019700566399993846,89.0,4.0,6.0,29.0,0.37735849056603776,0.022988505747126436,0.5384615384615384,0.46808510638297873,0.3046594982078853
2017-06-21,0.0010716216199990747,47.0,24.0,4.0,60.0,0.18627450980392157,0.06578947368421052,0.8541666666666666,0.17647058823529413,0.26714801444043323
2017-06-22,0.002337348019999519,36.0,9.0,2.0,41.0,0.13541666666666666,0.011111111111111112,0.9411764705882353,0.09615384615384616,0.1875
2017-06-23,-0.0034733189399998032,60.0,32.0,3.0,26.0,0.27,0.15714285714285714,0.9032258064516129,0.2222222222222222,0.3089430894308943
2017-06-25,-0.002190839829999014,5.0,9.0,1.0,10.0,0.0,0.25,0.7,0.0,0.24242424242424243
2017-06-26,-0.005715462560000439,35.0,40.0,6.0,42.0,0.1346153846153846,0.13953488372093023,0.9142857142857143,0.11538461538461539,0.23104693140794225
2017-06-27,-0.015760181689999264,28.0,180.0,6.0,186.0,0.13445378151260504,0.7432432432432432,0.45,0.0,0.32014388489208634
2017-06-28,0.007631417990000111,80.0,39.0,4.0,16.0,0.3508771929824561,0.16129032258064516,0.875,0.0,0.29225352112676056
2017-06-29,0.008024558829998973,72.0,88.0,4.0,17.0,0.33613445378151263,0.32558139534883723,0.6842105263157895,0.125,0.3498233215547703
2017-06-30,0.006312818299999412,71.0,12.0,3.0,17.0,0.3409090909090909,0.02197802197802198,0.8928571428571429,0.02564102564102564,0.23577235772357724
