,PNL,buy,sell,longest_buy,longest_sell,accuracy 1,accuracy 0,accuracy 3,accuracy 2,acuracy_total
2017-06-06,0.0,0.0,0.0,0.0,281.0,0.0,0.0,0.0,1.0,0.14590747330960854
2017-06-07,0.006133996720000479,116.0,0.0,44.0,84.0,0.5,0.0,0.325,0.36585365853658536,0.2939068100358423
2017-06-08,-0.01458000856999897,269.0,0.0,184.0,9.0,0.9724770642201835,0.0,0.0,0.07142857142857142,0.38162544169611307
2017-06-09,-0.0033067825200006062,207.0,33.0,35.0,5.0,0.8617021276595744,0.11904761904761904,0.0,0.0,0.3699186991869919
2017-06-11,-0.0027541687600001197,20.0,0.0,5.0,2.0,0.6,0.0,0.5454545454545454,0.0,0.2647058823529412
2017-06-12,0.0011134453800010213,144.0,7.0,6.0,7.0,0.5869565217391305,0.039603960396039604,0.8636363636363636,0.0,0.34285714285714286
2017-06-13,-0.0019117215000006293,96.0,47.0,5.0,11.0,0.3877551020408163,0.2235294117647059,0.47368421052631576,0.24561403508771928,0.32014388489208634
2017-06-14,0.001555224229998986,16.0,116.0,2.0,86.0,0.09803921568627451,0.5862068965517241,0.6585365853658537,0.13043478260869565,0.34057971014492755
2017-06-15,0.008202312410001467,82.0,6.0,4.0,61.0,0.4215686274509804,0.0392156862745098,0.5,0.48717948717948717,0.302491103202847
2017-06-16,0.00855005704999967,68.0,0.0,4.0,17.0,0.33980582524271846,0.0,0.7083333333333334,0.37142857142857144,0.26639344262295084
2017-06-18,-0.0008177330300005448,5.0,1.0,1.0,13.0,0.0,0.0,0.8571428571428571,0.18181818181818182,0.24242424242424243
2017-06-19,0.003562910249998774,84.0,0.0,5.0,26.0,0.4148936170212766,0.0,0.55,0.4411764705882353,0.2733812949640288
2017-06-20,0.004145981819999145,88.0,1.0,7.0,28.0,0.3490566037735849,0.011494252873563218,0.717948717948718,0.2978723404255319,0.2867383512544803
2017-06-21,0.004279242750000245,138.0,0.0,23.0,18.0,0.5686274509803921,0.0,0.5625,0.2549019607843137,0.35379061371841153
2017-06-22,0.0021569141400021863,76.0,20.0,5.0,13.0,0.3229166666666667,0.05555555555555555,0.9411764705882353,0.0,0.25
2017-06-23,-0.0013398890700004884,113.0,18.0,6.0,10.0,0.51,0.1,0.5161290322580645,0.15555555555555556,0.32926829268292684
2017-06-25,-0.005048363239999576,8.0,21.0,2.0,6.0,0.0,0.5,0.1,0.0,0.09090909090909091
2017-06-26,-0.002050406450002651,113.0,36.0,5.0,36.0,0.5,0.13953488372093023,0.8857142857142857,0.038461538461538464,0.35018050541516244
2017-06-27,-0.01737523324000012,65.0,194.0,14.0,187.0,0.2689075630252101,0.8243243243243243,0.2,0.044444444444444446,0.37050359712230213
2017-06-28,-0.00602467954000252,82.0,81.0,6.0,19.0,0.2719298245614035,0.25806451612903225,0.78125,0.0,0.28169014084507044
2017-06-29,0.006501865919998906,33.0,8.0,3.0,33.0,0.14285714285714285,0.023255813953488372,1.0,0.0,0.20141342756183744
2017-06-30,0.0077823155199996386,62.0,0.0,3.0,15.0,0.3181818181818182,0.0,1.0,0.0,0.22764227642276422
