,PNL,buy,sell,longest_buy,longest_sell,accuracy 1,accuracy 0,accuracy 3,accuracy 2,acuracy_total
2017-06-06,0.0003802053899999436,1.0,1.0,1.0,150.0,0.008849557522123894,0.01098901098901099,0.027777777777777776,1.0,0.15658362989323843
2017-06-07,0.006399454470001009,65.0,12.0,43.0,85.0,0.3055555555555556,0.011111111111111112,0.75,0.17073170731707318,0.25448028673835127
2017-06-08,-0.01386516265999882,249.0,0.0,115.0,6.0,0.8990825688073395,0.0,0.2962962962962963,0.0,0.3745583038869258
2017-06-09,-0.008744670450002712,101.0,145.0,12.0,57.0,0.40425531914893614,0.5238095238095238,0.0,0.0,0.3333333333333333
2017-06-11,-0.0032606804199999395,27.0,3.0,11.0,2.0,1.0,0.0,0.2727272727272727,0.0,0.23529411764705882
2017-06-12,-0.0007784483899988537,166.0,23.0,7.0,4.0,0.6413043478260869,0.07920792079207921,0.06818181818181818,0.3023255813953488,0.29642857142857143
2017-06-13,0.004650993169998507,137.0,26.0,13.0,17.0,0.5612244897959183,0.15294117647058825,0.23684210526315788,0.3508771929824561,0.3489208633093525
2017-06-14,0.00011174886999976152,2.0,100.0,1.0,139.0,0.0196078431372549,0.45977011494252873,0.8048780487804879,0.17391304347826086,0.3007246376811594
2017-06-15,-0.004888024579996486,224.0,13.0,114.0,8.0,0.8725490196078431,0.049019607843137254,0.2631578947368421,0.10256410256410256,0.38434163701067614
2017-06-16,0.007749987069999298,68.0,0.0,6.0,16.0,0.3592233009708738,0.0,0.375,0.8285714285714286,0.3073770491803279
2017-06-18,-0.0001042081200002265,6.0,0.0,3.0,10.0,0.25,0.0,0.42857142857142855,0.45454545454545453,0.30303030303030304
2017-06-19,-0.0032639781500023446,158.0,4.0,10.0,7.0,0.6808510638297872,0.0,0.1,0.35294117647058826,0.28776978417266186
2017-06-20,0.001455938870000617,175.0,1.0,104.0,5.0,0.6981132075471698,0.0,0.41025641025641024,0.19148936170212766,0.3548387096774194
2017-06-21,0.0020109156800001138,45.0,2.0,3.0,67.0,0.1568627450980392,0.0,0.5625,0.5490196078431373,0.2563176895306859
2017-06-22,0.0011633171000002829,135.0,12.0,6.0,6.0,0.5833333333333334,0.022222222222222223,0.4117647058823529,0.38461538461538464,0.3382352941176471
2017-06-23,0.0021602400999991556,48.0,71.0,4.0,48.0,0.24,0.35714285714285715,0.7419354838709677,0.28888888888888886,0.34552845528455284
2017-06-25,-0.005176802450000073,9.0,24.0,3.0,13.0,0.3333333333333333,0.75,0.0,0.0,0.15151515151515152
2017-06-26,0.002293955029999406,21.0,66.0,3.0,71.0,0.08653846153846154,0.29069767441860467,0.9714285714285714,0.0,0.24548736462093862
2017-06-27,-0.01660374458000069,77.0,196.0,31.0,183.0,0.2857142857142857,0.7567567567567568,0.075,0.0,0.3345323741007194
2017-06-28,0.0040067121599995925,79.0,158.0,46.0,94.0,0.30701754385964913,0.5913978494623656,0.0625,0.2,0.35563380281690143
2017-06-29,-0.009291535660001404,0.0,186.0,0.0,283.0,0.0,0.6395348837209303,0.4473684210526316,0.0,0.254416961130742
2017-06-30,0.0021972115799973047,13.0,52.0,2.0,84.0,0.07954545454545454,0.26373626373626374,0.9642857142857143,0.10256410256410256,0.25203252032520324
