,PNL,buy,sell,longest_buy,longest_sell,accuracy 1,accuracy 0,accuracy 3,accuracy 2,acuracy_total
2017-06-06,0.0,0.0,0.0,0.0,281.0,0.0,0.0,0.0,1.0,0.14590747330960854
2017-06-07,0.0071149042000000495,109.0,0.0,45.0,85.0,0.48148148148148145,0.0,0.7,0.0,0.2867383512544803
2017-06-08,-0.01669145641999914,275.0,6.0,204.0,8.0,0.981651376146789,0.01680672268907563,0.0,0.03571428571428571,0.38869257950530034
2017-06-09,-0.006516615810001847,246.0,0.0,246.0,0.0,1.0,0.0,0.0,0.0,0.3821138211382114
2017-06-11,-0.004526599069999637,34.0,0.0,34.0,0.0,1.0,0.0,0.0,0.0,0.14705882352941177
2017-06-12,-0.008854448040001017,138.0,0.0,79.0,32.0,0.4673913043478261,0.0,0.0,0.6744186046511628,0.2571428571428571
2017-06-13,-0.005130433490000863,28.0,0.0,11.0,96.0,0.07142857142857142,0.0,0.0,0.9122807017543859,0.21223021582733814
2017-06-14,-3.119822000030581e-05,1.0,15.0,1.0,143.0,0.00980392156862745,0.04597701149425287,0.8536585365853658,0.10869565217391304,0.16304347826086957
2017-06-15,-0.010702774589997466,194.0,37.0,194.0,87.0,0.6862745098039216,0.19607843137254902,0.07894736842105263,0.02564102564102564,0.33451957295373663
2017-06-16,0.005346538949999591,120.0,0.0,31.0,53.0,0.5436893203883495,0.0,0.0,0.5714285714285714,0.3114754098360656
2017-06-18,-0.0014741326000002886,18.0,0.0,5.0,7.0,0.5,0.0,0.2857142857142857,0.18181818181818182,0.24242424242424243
2017-06-19,0.0021577779799981656,69.0,0.0,3.0,26.0,0.30851063829787234,0.0,0.525,0.4117647058823529,0.2302158273381295
2017-06-20,0.004678383300000588,63.0,0.0,6.0,56.0,0.27358490566037735,0.0,0.8717948717948718,0.2765957446808511,0.2724014336917563
2017-06-21,0.0046361733100008795,146.0,0.0,10.0,11.0,0.6176470588235294,0.0,0.4583333333333333,0.23529411764705882,0.35018050541516244
2017-06-22,0.002932593810001327,70.0,7.0,4.0,20.0,0.3020833333333333,0.022222222222222223,0.9411764705882353,0.07692307692307693,0.24632352941176472
2017-06-23,0.0005960603400008146,115.0,63.0,11.0,14.0,0.57,0.34285714285714286,0.41935483870967744,0.13333333333333333,0.4065040650406504
2017-06-25,-0.003405692229999424,0.0,25.0,0.0,33.0,0.0,0.75,0.4,0.0,0.21212121212121213
2017-06-26,-0.005599538610002952,51.0,121.0,6.0,68.0,0.18269230769230768,0.5232558139534884,0.8,0.0,0.33212996389891697
2017-06-27,-0.014631707849998898,55.0,178.0,13.0,185.0,0.226890756302521,0.7567567567567568,0.325,0.0,0.34532374100719426
2017-06-28,-0.010824838880000076,1.0,209.0,1.0,178.0,0.0,0.6989247311827957,0.40625,0.06666666666666667,0.2852112676056338
2017-06-29,0.010167961839998352,48.0,4.0,3.0,31.0,0.2184873949579832,0.023255813953488372,0.9473684210526315,0.25,0.26148409893992935
2017-06-30,0.0042808144699997275,21.0,0.0,3.0,38.0,0.09090909090909091,0.0,1.0,0.02564102564102564,0.15040650406504066
