,PNL,buys,sells,longest_buys,longest_sells
2017-09-28,0.006619999999992743,3765.0,3550.0,24.0,21.0
2017-09-29,0.004980000000001983,3000.0,4250.0,15.0,25.0
2017-10-02,-0.006129999999986646,3509.0,3677.0,14.0,12.0
2017-10-03,0.008739999999995307,4366.0,2866.0,1653.0,13.0
2017-10-04,0.0033499999999970775,3368.0,3789.0,22.0,24.0
2017-10-05,0.0036300000000029087,3348.0,3667.0,30.0,25.0
2017-10-06,0.005069999999987473,4346.0,2822.0,453.0,26.0
2017-10-09,0.00688000000002531,3254.0,3529.0,23.0,16.0
2017-10-10,-0.0031300000000025197,1398.0,5651.0,9.0,2311.0
2017-10-11,-0.002140000000006914,1349.0,5827.0,19.0,2931.0
2017-10-12,0.005459999999998022,2644.0,4352.0,37.0,1186.0
2017-10-13,0.011979999999995883,3267.0,3821.0,16.0,21.0
2017-10-16,0.0005600000000043348,3693.0,3282.0,23.0,23.0
2017-10-17,0.0026300000000061274,616.0,6371.0,33.0,5239.0
2017-10-18,0.006260000000008592,3213.0,3729.0,60.0,22.0
2017-10-19,0.002669999999999728,3159.0,4066.0,13.0,104.0
2017-10-20,0.0017500000000036928,3039.0,4155.0,15.0,38.0
2017-10-23,0.010880000000002,3623.0,3361.0,62.0,16.0
2017-10-24,0.005220000000014879,3007.0,3775.0,13.0,22.0
2017-10-25,0.0023299999999970566,3381.0,3709.0,13.0,17.0
2017-10-26,-0.0044300000000072615,4427.0,2751.0,2316.0,83.0
2017-10-27,-0.0023100000000024776,6944.0,278.0,4709.0,18.0
2017-10-30,0.0029800000000095306,2666.0,4326.0,25.0,78.0
2017-10-31,-0.00161000000002276,3284.0,3672.0,64.0,25.0
2017-11-01,0.002520000000019395,3089.0,3892.0,23.0,21.0
2017-11-02,0.014319999999990785,1997.0,5151.0,7.0,737.0
2017-11-03,0.00699000000000205,2989.0,3768.0,16.0,20.0
2017-11-06,0.0018500000000010175,4026.0,2424.0,1613.0,25.0
2017-11-07,0.0002499999999980851,4696.0,1998.0,2182.0,13.0
2017-11-08,-0.0002000000000008661,3180.0,3498.0,31.0,19.0
2017-11-09,-0.0003800000000062642,3101.0,3626.0,19.0,45.0
2017-11-10,-4.000000001425086e-05,1830.0,4692.0,14.0,1317.0
2017-11-13,-2.000000000390581e-05,3013.0,3180.0,15.0,24.0
2017-11-14,-0.01309999999999456,937.0,5436.0,19.0,4168.0
2017-11-15,0.0022399999999929143,1988.0,4877.0,57.0,2881.0
2017-11-16,0.0003800000000018233,4444.0,2324.0,241.0,34.0
2017-11-17,0.0041299999999862,2994.0,3956.0,18.0,53.0
2017-11-20,-0.0009399999999966102,4025.0,2706.0,112.0,21.0
2017-11-21,0.011980000000007873,3557.0,3079.0,246.0,34.0
2017-11-22,0.001979999999995208,2938.0,3727.0,32.0,160.0
2017-11-23,-0.0004999999999995011,584.0,5833.0,13.0,3865.0
2017-11-24,-0.00284000000000173,1260.0,5189.0,15.0,3530.0
2017-11-27,0.0019899999999899443,3349.0,3035.0,131.0,575.0
2017-11-28,0.002130000000013066,3660.0,3241.0,108.0,52.0
2017-11-29,0.001580000000006354,3209.0,3729.0,13.0,17.0
2017-11-30,-0.002670000000008832,3291.0,3755.0,21.0,90.0
2017-12-01,-0.009569999999999412,3423.0,3935.0,13.0,19.0
2017-12-04,0.006930000000014314,3107.0,3595.0,13.0,13.0
2017-12-05,-0.0008200000000186947,3789.0,3030.0,465.0,27.0
2017-12-06,-0.001070000000002569,4534.0,2303.0,1950.0,21.0
2017-12-07,0.0028299999999865655,3767.0,3048.0,517.0,26.0
2017-12-08,-0.0011999999999969813,6671.0,69.0,6223.0,4.0
2017-12-11,0.0012199999999966682,2969.0,3342.0,16.0,61.0
2017-12-12,0.00643000000001015,3410.0,2991.0,569.0,22.0
2017-12-13,-0.0049399999999850674,2855.0,3511.0,22.0,299.0
2017-12-14,0.002979999999995764,2212.0,4784.0,46.0,1693.0
2017-12-15,0.003929999999992884,3065.0,3665.0,11.0,19.0
2017-12-18,-0.003799999999988257,2923.0,3507.0,28.0,23.0
2017-12-19,-0.0009000000000076724,3044.0,3619.0,34.0,90.0
2017-12-20,0.0017900000000008465,1712.0,4876.0,21.0,1777.0
2017-12-21,-0.000829999999983011,4261.0,2316.0,111.0,41.0
2017-12-22,0.004870000000003705,2800.0,3815.0,17.0,20.0
2017-12-25,0.021649999999998393,261.0,270.0,17.0,14.0
2017-12-26,0.004319999999998991,2425.0,2457.0,21.0,23.0
2017-12-27,0.005019999999999136,1598.0,4620.0,21.0,1384.0
2017-12-28,-0.0013900000000002244,646.0,5629.0,15.0,4807.0
2017-12-29,-0.0034700000000007503,1330.0,4870.0,18.0,3609.0
