,PNL,buys,sells,longest_buys,longest_sells
2017-09-05,0.003379999999991501,3403.0,3827.0,13.0,20.0
2017-09-06,-0.008670000000013722,3298.0,3928.0,74.0,18.0
2017-09-07,-0.0028700000000201325,1509.0,5750.0,20.0,2746.0
2017-09-08,0.004929999999979895,1695.0,5710.0,26.0,1264.0
2017-09-11,0.0012599999999893807,3385.0,3822.0,43.0,40.0
2017-09-12,-0.003929999999998657,2944.0,3491.0,10.0,17.0
2017-09-13,-5.0000000013872444e-05,4318.0,2839.0,1729.0,20.0
2017-09-14,0.010610000000018216,3681.0,3593.0,98.0,102.0
2017-09-15,0.013040000000000385,3500.0,3915.0,19.0,41.0
2017-09-18,0.00842000000000809,3846.0,3510.0,21.0,10.0
2017-09-19,0.004409999999995806,2620.0,4794.0,12.0,723.0
2017-09-20,0.004029999999993983,1848.0,5459.0,9.0,1370.0
2017-09-21,0.004419999999983437,3979.0,3468.0,52.0,21.0
2017-09-22,0.005259999999978948,3516.0,3793.0,10.0,15.0
2017-09-25,0.006770000000007936,4686.0,2515.0,1720.0,18.0
2017-09-26,-0.004689999999999417,5397.0,1888.0,4245.0,77.0
2017-09-27,-0.00025000000000030553,5773.0,1659.0,3087.0,22.0
2017-09-28,0.0032400000000034623,3726.0,3589.0,14.0,19.0
2017-09-29,0.0015599999999995617,3131.0,4119.0,16.0,46.0
2017-10-02,-0.008250000000001423,3593.0,3593.0,12.0,17.0
2017-10-03,0.009179999999997301,4448.0,2784.0,1649.0,13.0
2017-10-04,-0.002430000000018584,3453.0,3704.0,14.0,23.0
2017-10-05,-0.0015699999999965186,3363.0,3652.0,15.0,27.0
2017-10-06,0.002689999999973214,4470.0,2698.0,491.0,13.0
2017-10-09,0.020380000000000953,3203.0,3580.0,14.0,18.0
2017-10-10,0.0024499999999914035,1563.0,5486.0,10.0,2276.0
2017-10-11,-0.0024599999999992406,1354.0,5822.0,35.0,2959.0
2017-10-12,0.003639999999986987,2579.0,4417.0,15.0,1188.0
2017-10-13,0.0049400000000061626,3344.0,3744.0,20.0,20.0
2017-10-16,-0.0031800000000046236,3630.0,3345.0,23.0,16.0
