,PNL,buys,sells,longest_buys,longest_sells
2017-09-06,0.0007499999999920348,3500.0,3726.0,140.0,28.0
2017-09-07,-0.015710000000020763,1440.0,5819.0,9.0,2751.0
2017-09-08,-0.0025900000000063095,4548.0,2857.0,1241.0,38.0
2017-09-11,-0.006080000000006303,3368.0,3839.0,60.0,35.0
2017-09-12,0.004829999999995671,2951.0,3484.0,18.0,27.0
2017-09-13,-0.00027000000001709,4389.0,2768.0,1740.0,20.0
2017-09-14,0.003270000000014539,3834.0,3440.0,97.0,71.0
2017-09-15,-0.002800000000026115,3662.0,3753.0,30.0,21.0
2017-09-18,0.013679999999997692,3677.0,3679.0,18.0,23.0
2017-09-19,0.003289999999989357,2845.0,4569.0,11.0,381.0
2017-09-20,0.003989999999990611,2262.0,5045.0,13.0,729.0
2017-09-21,0.009919999999991047,3824.0,3623.0,54.0,34.0
2017-09-22,-0.0004600000000185567,3506.0,3803.0,11.0,11.0
2017-09-25,0.014810000000000656,2778.0,4423.0,27.0,1715.0
2017-09-26,-0.0036500000000072585,5624.0,1661.0,4241.0,29.0
2017-09-27,0.0019099999999956374,5781.0,1651.0,3087.0,24.0
2017-09-28,0.0008599999999852059,3563.0,3752.0,16.0,13.0
2017-09-29,0.008319999999997663,3181.0,4069.0,11.0,18.0
2017-10-02,-0.0077700000000044955,3512.0,3674.0,12.0,16.0
2017-10-03,0.010179999999997635,4366.0,2866.0,1647.0,12.0
2017-10-04,-0.011670000000009395,3483.0,3674.0,13.0,22.0
2017-10-05,-0.00400999999998497,3258.0,3757.0,12.0,14.0
2017-10-06,-0.014710000000020873,2923.0,4245.0,31.0,389.0
2017-10-09,0.012200000000009537,3196.0,3587.0,13.0,16.0
2017-10-10,-0.003050000000003772,4566.0,2483.0,2275.0,24.0
2017-10-11,-0.0031999999999894335,1429.0,5747.0,13.0,2955.0
2017-10-12,0.004699999999983273,2684.0,4312.0,33.0,1186.0
2017-10-13,-0.009779999999997457,3411.0,3677.0,18.0,12.0
2017-10-16,-0.0020600000000088325,3532.0,3443.0,14.0,15.0
2017-10-17,0.0004100000000057946,6301.0,686.0,4884.0,13.0
2017-10-18,0.0047599999999805576,3190.0,3752.0,14.0,35.0
2017-10-19,-0.004269999999992002,3295.0,3930.0,12.0,67.0
2017-10-20,0.0015899999999906549,3369.0,3825.0,13.0,32.0
2017-10-23,0.00371999999999284,3385.0,3599.0,50.0,17.0
2017-10-24,0.0034999999999902887,3064.0,3718.0,12.0,15.0
2017-10-25,-0.004770000000012153,3293.0,3797.0,17.0,14.0
2017-10-26,0.0004299999999797244,2280.0,4898.0,32.0,2282.0
2017-10-27,-0.0032099999999977155,6950.0,272.0,4710.0,9.0
2017-10-30,0.000980000000035508,3172.0,3820.0,21.0,21.0
2017-10-31,-0.006410000000012905,3278.0,3678.0,22.0,15.0
2017-11-01,-0.004320000000000546,3118.0,3863.0,13.0,16.0
